,Total_Rev_Predicted,Revenue: Hydro Only,group,E,Cap,Net_rev_ES,5-yr ROI%,Pay back period
0,8869884.25,8876245.487478148,1,0.06,0.12,-6361.237478148192,-38.58151409121628,-11.977623110938103
1,8870249.25,8876245.487478148,2,0.12,0.12,-5996.237478148192,-29.066329575199017,-18.814905107813043
2,8870614.25,8876245.487478148,3,0.24,0.12,-5631.237478148192,-23.328191184577445,-37.36210945558452
3,8870979.25,8876245.487478148,4,0.36,0.12,-5266.237478148192,-21.168416378065803,-71.10090439725036
4,8871344.25,8876245.487478148,5,0.48,0.12,-4901.237478148192,-20.029729772169354,-152.80049060782443
5,8622279.75,8876245.487478148,6,2.2,4.4,-253965.7374781482,-39.7855596185581,-11.130561139484756
6,8622644.75,8876245.487478148,7,4.4,4.4,-253600.7374781482,-30.560986639525993,-16.295630583402666
7,8623009.75,8876245.487478148,8,8.8,4.4,-253235.7374781482,-24.642782228908697,-28.863922590356164
8,8623374.75,8876245.487478148,9,13.200000000000001,4.4,-252870.7374781482,-22.356822807543153,-46.287339849656576
9,8623739.75,8876245.487478148,10,17.6,4.4,-252505.7374781482,-21.144379195027852,-72.17075366573788
10,8382051.39,8876245.487478148,11,4.34,8.68,-494194.0974781485,-39.68658028828906,-11.241672547819809
11,8382416.39,8876245.487478148,12,8.68,8.68,-493829.0974781485,-30.590598020852802,-16.402215666068535
12,8382781.39,8876245.487478148,13,17.36,8.68,-493464.0974781485,-24.573401153577855,-29.265903357883836
13,8383146.39,8876245.487478148,14,26.04,8.68,-493099.0974781485,-22.309415568372017,-47.03145605354911
14,8383511.39,8876245.487478148,15,34.72,8.68,-492734.0974781485,-21.138938068937414,-73.18137572520946
15,8321348.14,8876245.487478148,16,6.48,12.96,-554897.3474781485,-34.615117755362434,-14.814944855440467
16,8321713.14,8876245.487478148,17,12.96,12.96,-554532.3474781485,-27.41731519798343,-22.27183461611549
17,8322078.14,8876245.487478148,18,25.92,12.96,-554167.3474781485,-22.841295111325685,-42.10448323925355
18,8322443.14,8876245.487478148,19,38.88,12.96,-553802.3474781485,-21.159297523422264,-73.36306032057465
19,8322808.14,8876245.487478148,20,51.84,12.96,-553437.3474781485,-20.266355170203113,-131.9078330163278
20,8566062.82,8876245.487478148,21,8.615,17.23,-310182.6674781479,-25.767773340755813,-33.41348161728667
21,8566427.82,8876245.487478148,22,17.23,17.23,-309817.6674781479,-22.131399595212017,-57.56509589994615
22,8566792.82,8876245.487478148,23,34.46,17.23,-309452.6674781479,-19.89072538226439,-174.70233929067675
23,8567157.82,8876245.487478148,24,51.69,17.23,-309087.6674781479,-19.100978984879955,-7636.949011786086
24,8567522.82,8876245.487478148,25,68.92,17.23,-308722.6674781479,-18.68824099531055,309.0313722191414
25,8851616.39,8876245.487478148,26,10.755,21.51,-24629.097478147596,-19.872850806782836,-216.3682171312993
26,8851981.39,8876245.487478148,27,21.51,21.51,-24264.097478147596,-18.65310366897428,946.836341163503
27,8852346.39,8876245.487478148,28,43.02,21.51,-23899.097478147596,-17.93057233374141,156.49448097537697
28,8852711.39,8876245.487478148,29,64.53,21.51,-23534.097478147596,-17.71397975391073,111.10702624512162
29,8853076.39,8876245.487478148,30,86.04,21.51,-23169.097478147596,-17.609441068585273,94.45560728675493
30,9365437.74,8876245.487478148,31,12.895,25.79,489192.25252185203,-12.975850720345438,39.461516353241954
31,9365802.74,8876245.487478148,32,25.79,25.79,489557.25252185203,-14.549225017098973,43.547988690607525
32,9366167.74,8876245.487478148,33,51.58,25.79,489922.25252185203,-15.620789449864466,48.013393301468696
33,9366532.74,8876245.487478148,34,77.37,25.79,490287.25252185203,-16.072411955623497,50.27747356441261
34,9366897.74,8876245.487478148,35,103.16,25.79,490652.25252185203,-16.328250793091122,51.683502062910435
35,10009054.78,8876245.487478148,36,15.03,30.06,1132809.2925218511,-6.6263385089654445,18.83477540974595
36,10009419.78,8876245.487478148,37,30.06,30.06,1133174.2925218511,-10.715992583586438,23.03292533710129
37,10009784.78,8876245.487478148,38,60.12,30.06,1133539.2925218511,-13.454230629467492,29.084540499501163
38,10010149.78,8876245.487478148,39,90.17999999999999,30.06,1133904.2925218511,-14.542641485885984,33.24578087939258
39,10010514.78,8876245.487478148,40,120.24,30.06,1134269.2925218511,-15.13422573528607,36.436536874100476
40,10526721.29,8876245.487478148,41,17.17,34.34,1650475.802521851,-3.1272226575622417,14.610799188314099
41,10527086.29,8876245.487478148,42,34.34,34.34,1650840.802521851,-8.558736502011621,18.22333136865189
42,10527451.29,8876245.487478148,43,68.68,34.34,1651205.802521851,-12.235367635579276,23.815524595000443
43,10527816.29,8876245.487478148,44,103.02000000000001,34.34,1651570.802521851,-13.69003744135078,27.990619534762434
44,10528181.29,8876245.487478148,45,137.36,34.34,1651935.802521851,-14.476062266665368,31.41548448118023
45,11228639.76,8876245.487478148,46,19.31,38.62,2352394.2725218516,1.1863003031768482,11.440197254156166
46,11229004.76,8876245.487478148,47,38.62,38.62,2352759.2725218516,-5.866786034746403,14.469799124440152
47,11229369.76,8876245.487478148,48,77.24,38.62,2353124.2725218516,-10.719709633643577,19.46083211249701
48,11229734.76,8876245.487478148,49,115.85999999999999,38.62,2353489.2725218516,-12.63279258202079,23.4070073989873
49,11230099.76,8876245.487478148,50,154.48,38.62,2353854.2725218516,-13.6735121724561,26.847673289392894
50,11988998.5,8876245.487478148,51,21.445,42.89,3112753.012521852,5.057939184292735,9.565733388493603
51,11989363.5,8876245.487478148,52,42.89,42.89,3113118.012521852,-3.404727552198883,12.183558800905956
52,11989728.5,8876245.487478148,53,85.78,42.89,3113483.012521852,-9.335862882441413,16.682876859422215
53,11990093.5,8876245.487478148,54,128.67000000000002,42.89,3113848.012521852,-11.671018436510492,20.37262330212347
54,11990458.5,8876245.487478148,55,171.56,42.89,3114213.012521852,-12.956132028701647,23.75725496533428
55,12712804.87,8876245.487478148,56,23.585,47.17,3836559.382521851,7.941135987675088,8.521173661211384
56,12713169.87,8876245.487478148,57,47.17,47.17,3836924.382521851,-1.5367820042556257,10.884607036715522
57,12713534.87,8876245.487478148,58,94.34,47.17,3837289.382521851,-8.282735486416609,15.05164853142008
58,12713899.87,8876245.487478148,59,141.51,47.17,3837654.382521851,-10.956104867868211,18.58940584872453
59,12714264.87,8876245.487478148,60,188.68,47.17,3838019.382521851,-12.429460428316451,21.915524827483686
60,13330278.09,8876245.487478148,61,25.725,51.45,4454032.602521852,9.634823367382268,8.003041259249143
61,13330643.09,8876245.487478148,62,51.45,51.45,4454397.602521852,-0.3912682180617534,10.222763292273688
62,13331008.09,8876245.487478148,63,102.9,51.45,4454762.602521852,-7.648897019367732,14.216934469149287
63,13331373.09,8876245.487478148,64,154.35000000000002,51.45,4455127.602521852,-10.533367646878375,17.675480373338015
64,13331738.09,8876245.487478148,65,205.8,51.45,4455492.602521852,-12.12719552553931,20.998859257199353
65,14385528.0,8876245.487478148,66,27.86,55.72,5509282.512521852,13.712458769263934,6.992110848458934
66,14385893.0,8876245.487478148,67,55.72,55.72,5509647.512521852,2.265969488124872,8.955026409260924
67,14386258.0,8876245.487478148,68,111.44,55.72,5510012.512521852,-6.184313918752649,12.601503201373879
68,14386623.0,8876245.487478148,69,167.16,55.72,5510377.512521852,-9.524327310274279,15.810414238758856
69,14386988.0,8876245.487478148,70,222.88,55.72,5510742.512521852,-11.404542533675325,19.02894224954781
70,15493916.56,8876245.487478148,71,30.0,60.0,6617671.072521852,17.5842821431179,6.251202636518567
71,15494281.56,8876245.487478148,72,60.0,60.0,6618036.072521852,4.811242078557151,8.015215552770155
72,15494646.56,8876245.487478148,73,120.0,60.0,6618401.072521852,-4.823462698573851,11.39869464458268
73,15495011.56,8876245.487478148,74,180.0,60.0,6618766.072521852,-8.583598031357623,14.394035550331685
74,15495376.56,8876245.487478148,75,240.0,60.0,6619131.072521852,-10.739391790529389,17.504461738927148
